147/1189,i/IhabFIlyas,100
147/1189,06/4171,26
147/1189,w/HaixunWang,56
147/1189,85/5637-1,22
147/1189,82/231,50
147/1189,p/JianPei,41
147/1189,39/7183,158
147/1189,26/5170,6
147/1189,d/KhuzaimaDaudjee,16
147/1189,78/4413,57
147/1189,h/OktieHassanzadeh,54
147/1189,26/6037,188
147/1189,27/3375,8
147/1189,86/9726,32
147/1189,89/2619,29
147/1189,75/5478,10
147/1189,r/VijayshankarRaman,36
147/1189,58/4127,99
147/1189,n/FelixNaumann,62
147/1189,x/JianliangXu,16
147/1189,38/8707,67
147/1189,163/0545,93
147/1189,t/KianLeeTan,59
147/1189,160/1053,74
147/1189,h/BingshengHe,6
147/1189,71/8700-1,75
147/1189,61/267,57
147/1189,l/JiahengLu,43
147/1189,m/ReneMuller,11
147/1189,71/5578,16
147/1189,37/548,15
147/1189,87/11444,53
147/1189,h/AlonYHalevy,124
147/1189,28/568,12
147/1189,m/CMohan,55
147/1189,16/4915,71
147/1189,c/PKChrysanthis,16
147/1189,84/2644,27
147/1189,75/9436,148
147/1189,147/1195,10
147/1189,g/MinosNGarofalakis,57
147/1189,57/10948-1,26
147/1189,127/3025,7
147/1189,i/StratosIdreos,77
147/1189,58/3771,36
147/1189,80/1651-2,25
131/4202,41/3679,210
131/4202,m/StefanManegold,14
131/4202,49/612,42
131/4202,33/6315-1,26
131/4202,v/YannisVelegrakis,4
131/4202,17/5910,10
131/4202,s/KennethSalem,20
131/4202,01/2861,112
131/4202,32/7263,30
131/4202,117/3757,86
131/4202,11/6446,28
131/4202,77/5034,18
131/4202,131/4166,66
131/4202,h/KatjaHose,28
131/4202,28/3797,10
131/4202,69/157-1,4
131/4202,57/1978,4
131/4202,117/4879-1,5
131/4202,y/JunYang1,25
131/4202,b/PeterABoncz,62
131/4202,m/PaoloMerialdo,16
131/4202,27/104-1,199
131/4202,94/4260,32
131/4202,131/4767,79
131/4202,49/8316,8
131/4202,k/NickKoudas,12
131/4202,180/5513,21
131/4202,f/AlanDavidFekete,33
131/4202,b/ChristianBizer,6
131/4202,b/ABonifati,2
