A. Seza Doğruöz,[Ghent University]
Monojit Choudhury,"[Microsoft Research Lab India, Microsoft]"
Muhammad Abdul-Magead,[University of British Columbia]
Murat Saraçlar,[Bogazici University]
Murathan Kurfali,[University of Stockholm]
Nadia L’Bahy,[OpenReview]
Nadir Durrani,"[Qatar Computing Research Institute, QCRI]"
Nadjet Bouayad,[Unknown]
Nafise Moosavi,"[TU Darmstadt, Germany]"
Nafise Sadat Moosavi,"[UKPLab, Technische Universität Darmstadt]"
Nan Duan,[Microsoft Research Asia (Senior Chair)]
Nancy Chen,"[Institute for Infocomm Research, A*STAR]"
Nancy Ide,[Unknown]
Nanyun Peng,"[University of Southern California, University of California, Los Angeles, Unknown]"
Nanyung (Violet) Peng,"[University of California, Los Angeles]"
Naoaki Okazaki,"[Tokyo Institute of Technology (Japan), Tokyo Institute of Technology, Japan, Tokyo Institute of Technology]"
Naoki Okada,[Osaka University]
Naomi Saphra,[New York University]
Natalie Schluter,"[Google Brain and IT University of Copenhagen, IT University of Copenhagen (Senior Chair)]"
Nattapol Kritsuthikul,"[NECTEC, NSTDA, Thailand]"
Nazli Goharian,[Unknown]
Nazneen Rajani,"[Salesforce Research, Unknown]"
Nedim Lipka,[Unknown]
Nedjma Djouhra Ousidhoum,[University of Cambridge (UK)]
Nedjma Ousidhoum,[Cardiff University and University of Cambridge]
Nianwen Xue,"[Brandeis University, USA, Unknown]"
Nicole Ballard,[YesEvents]
Nigel Collier,[Unknown]
Nikolaos Aletras,"[University of Sheffield and Amazon, Unknown]"
Nina Dethlefs,"[University of Hull, Unknown]"
Nitin Madnani,[ETS AI Labs]
Nizar Habash,[Unknown]
Noah A. Smith,[Unknown]
Nut Limsopatham,[Unknown]
Nyalleng Moorosi,[Google AI]
Oana Cocarascu,[King’s College London]
Oleg Rokhlenko,[Amazon Research]
Olga Majewska,[Unknown]
Olga Uryupina,[Unknown]
Omer Levy,[Unknown]
Omri Abend,"[Hebrew University of Jerusalem, Unknown]"
Oren Kurland,[Unknown]
Oren Tsur,[Unknown]
Orhan Firat,"[Google AI, Unknown]"
Owen Rambow,[Unknown]
Panupong Pasupat,[Google]
Paolo Rosso,"[Universitat Politècnica de València, Spain]"
Partha Pratim Talukdar,[Google]
Pascale Fung,[Unknown]
